,latBin,lonBin,updated_type,updated_subtype,counts
7052,41.9,-87.67,Accident,Major,299
6070,41.87,-87.65,Accident,Major,249
5345,41.85,-87.65,Accident,Major,173
5655,41.86,-87.65,Accident,Major,170
6706,41.89,-87.66,Accident,Major,156
6399,41.88,-87.65,Accident,Major,145
6021,41.87,-87.67,Accident,Major,136
5080,41.84,-87.64,Accident,Major,134
3876,41.800000000000004,-87.64,Accident,Major,129
4797,41.83,-87.64,Accident,Major,127
